ID,Class,Question
1321,Electronics,work with adaptor?
1322,Automotive,"We purchased one of these last year, and it worked great. This year, the other side - no new mounting bolts were included?"
1323,Musical Instruments,I'm assuming the picture shows the clip and lamps are shown on the same side just to take the picture. Can the lamps be rotated to the opposite side?
1324,Electronics,Does this require drilling into or thru my vehicle at some point? Want to install on a supercrew F150.
1325,Electronics,"What is the overall end to end dimension including the side brackets for the 120"" 16:9 projector screen? I have a wall end to end dimension of 118"""
1326,Electronics,"Does this extender fit the Canon Rebel T5i? I'm hoping it does; however, I'm concerned about the reduction in image size. Any info appreciated!"
1327,Electronics,Can I use this with my laptop?
1328,Cell Phones and Accessories,"Does this fit HDX Fire 7"" (Previous Generation - 3rd)"
1329,Electronics,Can this card be used in the samsung galaxy s4 phone?
1330,Pet Supplies,"Should I purchase the medium or large (& cut-to-size) for my 10 lb Yorkie; if she likes a chew, she reeeally works it. Safety First!"
1331,Musical Instruments,Is it made in USA?
1332,Cell Phones and Accessories,"Has anyone tried this case with the 10,000mah Zerolemon Battery?"
1333,Home and Kitchen,Would this be big enough to make oatmeal for one person? (I get tired of handwashing my l.5 qt. pans. Was going to buy 3/4 qt. 'til I saw this.
1334,Home and Kitchen,Can you fit a sandwich in the largest section of this box?
1335,Automotive,My application calls for two air cleaners. Has anyone ordered these and gotten one or a pair?
1336,Pet Supplies,How large is the spacing between the wires? Would a 15 lb dog be able to jump over or move it if jumping against it?
1337,Home and Kitchen,How long is this container?? I have a small microwave.
1338,Patio Lawn and Garden,Can I use the soil to sow seeds?
1339,Automotive,Does this lag your engine a bit while using and driving?(I'm running a 3.0 V6) and will this have enough to power a 15inch Laptop + a pair of speakers
1340,Patio Lawn and Garden,Hi does this BBq have the gas ignitor to light the charcoals
1341,Electronics,Does this lens come with the sun shade?
1342,Home and Kitchen,Are these real wood or MDF?
1343,Automotive,the image is on both sides?
1344,Automotive,Is the amount of light sufficient in a 12V application? I plan to use the light on an off-road cart. Thanks in advance for any help.
1345,Tools and Home Improvement,"Is this made in USA? If not, where?"
1346,Home and Kitchen,mine came broken !! anyone else have any trouble with this ? I really like this and want to re-order.packing was very very poor that may be the reason
1347,Tools and Home Improvement,"What kind of range do you get with this? I just bought a new 3 button Genie, and have to be at the door with my arm out the window to use them"
1348,Home and Kitchen,"I have these and really like them, but wonder if there's an easy way to get the frozen popsicles out of the molds?"
1349,Home and Kitchen,Is the back side of this desk also black wood? I'd like to place it in my living room so that the back side shows.
1350,Electronics,"What formats will this play? WAV, MP3?"
1351,Patio Lawn and Garden,I just got my Poulan Pro and my only issue is that it wont shift into reverse - any suggestions? Help
1352,Electronics,"Aspect Ratio Can any of you guys answer if the all 4:3 aspect video is streched to 16:9 with this player. I enjoy watching many tv programs on dvd and I am much happier watching them in the correct 4:3 ratio. My HD-A2 uspcales great and leaves the 4:3 aspect ratio correct while upconverting. It has maybe twice streched the 4:3 ratio to 16:9 out of hundreds of 4:3 programs I have viewed. I am looking for a workhorse upconverting player to play SD DVD's and save wear on my HD DVD player, but if the XD-E 500 streches all 4:3 video I will have to buy another model. Any info on this would be appreciated. Thank you."
1353,Automotive,Does this fit the 2014 Honda CRV EX-L?
1354,Grocery and Gourmet Food,What's the sodium content?
1355,Electronics,"What kind of antenna connector does it have? SMA M/F, PL259, etc? Do you sell a compatible antenna?"
1356,Electronics,"Can you turn off the ""lights"" feature and use it as just a speaker?"
1357,Office Products,Cost of Service No body has mentioned the cost of the service.Anyone out there have this information?
1358,Home and Kitchen,Are the waffle plates removable for easy washing?
1359,Automotive,What is the weight limit on this item?
1360,Electronics,Do i need to buy thermal paste for this?
1361,Home and Kitchen,"The description mentions ""The steel frame"" while the name doesn't. So it does have a metal frame? Is the quality of the steel frame good? Thanks!"
1362,Automotive,"How deep is the back vent? My hatch window opens up to about 2"". Does the vent allow the hatch window to open all the way? I have a 2000 GMC Sierra 1500 Extended Cab."
1363,Toys and Games,"I just received this and the first thing I noticed is the overpowering, almost toxic smell. Did anyone else have this same issue?"
1364,Automotive,Can you remove damaged cores with it?
1365,Automotive,Is this part for left driver front?
1366,Electronics,"Does this model have a ""touch screen""?"
1367,Office Products,what printers use this ink?
1368,Tools and Home Improvement,How does this shower hold up in cold weather? Any failure in parts?
1369,Home and Kitchen,"I read that it would be better to have two Swissmar Raclette for 8 people is that true? Four people on each Raclette. Or, is it doable for just one?"
1370,Pet Supplies,"Is the strip over the padding real leather? We bought a ""leather"" collar elsewhere, and the strip peeled within two weeks. Turned out to be pleather."
1371,Cell Phones and Accessories,"After install, anyone having difficulty with touch? Glass not close enough to screen? Dirty? Really annoying...."
1372,Patio Lawn and Garden,what kind of sprayer is best to use with this product?
1373,Electronics,How long is the cord between the speakers? Can a remote control be used with them?
1374,Pet Supplies,Is 6x8 the actual dimensions of the filter itself? My filter is 1/3 that size.
1375,Toys and Games,Why does it bother to say that 0% goes to the Make a Wish Foundation?
1376,Electronics,how do i switch from dish satelite to directv? not happy with dish at all with ours and directv when called couldnt answer if this works with them.
1377,Sports and Outdoors,Wil this hold two large frame pistols? One 10 inch long semiauto and one N frame revolver with 6 and 3/8 barrel?
1378,Home and Kitchen,Are there any capsules included when buying the machine?
1379,Tools and Home Improvement,Are these lamps 9.5 inches including the shade? Or are the measurements for the base only?
1380,Office Products,"How often do these need to be sharpened? I'm primarily using it for sketch (not detailed line work), and debating between leadholder and mechanical."
1381,Home and Kitchen,Is the silver grip and cap stainless steel?
1382,Patio Lawn and Garden,"Does it sit on the ground, hang or attach to something?"
1383,Sports and Outdoors,Is there a way to tie it down so it doesn't blow away in windy conditions?
1384,Home and Kitchen,how wide is the seat will it fit a 400 pound man?
1385,Tools and Home Improvement,Is this flashlight suitable for scuba diving up to 30 meters? If I get 2 of them do you think I will have enough light to film something 60 inches awa
1386,Automotive,Can this module be used on an 2011 Infiniti FX35?
1387,Patio Lawn and Garden,The title shows 18.5 22.5. How do I specify that I want the gasket kit for my 18.5 WSM?
1388,Cell Phones and Accessories,I keep seeing comments saying it didn't fit their IPod Touch 4 and it was for IPhones. Are they just unlucky buyers or is it really for IPhones?
1389,Sports and Outdoors,How difficult is this to put together?
1390,Tools and Home Improvement,Can it be applied at temperature below 50 degrees?
1391,Video Games,"Can you put the vita in the case along with the trigger grip on it, I bought the sony PS Vita trigger grip."
1392,Home and Kitchen,You can see quilt marks on the mat that I am almost positive transfer to clothes. Why does this rate so well?
1393,Electronics,"Anyone having issues with the speaker not holding a charge? Mine works for a little while and then suddenly turns off, even if it's plugged in."
1394,Pet Supplies,Does the LEDs have a seperate switch so they can be toggled at night?
1395,Home and Kitchen,is this small ? and can be used for travel tea kettle?
1396,Home and Kitchen,Does this fan cool down the house when it is hotter outside than inside? I don't get how bringing in hot outside air can cool the house down.
1397,Grocery and Gourmet Food,Is this 100% coffee?
1398,Sports and Outdoors,What are the dimensions of the bag?
1399,Automotive,works engine ford 302??
1400,Cell Phones and Accessories,"Hello, I just bought 3 Ready Sim, for whom I ask to cut 2 of them for IPhone 4 and one for Sansumg S3? thanks."
1401,Home and Kitchen,Can you clean it with Bon Ami or Barkeeper's Friend?
1402,Sports and Outdoors,I am very interested in this vest. I just want to make sure there isn't any sand in it as well?
1403,Home and Kitchen,dimensions of product?
1404,Electronics,Will this wallet case fits the Surface Pro 2 and Type Cover 2 AND have space to put the stylus down the side of the case?
1405,Sports and Outdoors,Does it have a doppler? Thanks Tom
1406,Sports and Outdoors,Is that will be fit to me that I have waist-long hair?
1407,Electronics,can u monitor the device from your computer or add the device to your computer?
1408,Toys and Games,What is the choking hazard on this doll? Would it be appropriate for a first birthday gift?
1409,Automotive,Pl's help getting terrible grinding noise when braking after replacing my OEM with this brake kit? Four different mechanics said it was the brake kit.
1410,Musical Instruments,Is there a headphone out socket?
1411,Electronics,"Downloading Album Covers- How do I do this? I have clicked the link to Download Album Covers many times, but not one shows up on my Ipod Touch after synching. How do I do this?TIA"
1412,Patio Lawn and Garden,"Was the flag folded in its package when you originally received it? If so, was it folded in half or quarters, or smaller? Did the wrinkles come out?"
1413,Electronics,"I just got this. But you can't change WALLPAPER? What? I actually bought this from a store, but this is the same exact model. I like how it came loaded with various software and stuff, but then when I simply tried to change my wallpaper, its not there! Is this on every model made? I'm assuming this is a result of Windows 7 Starter? My full size laptop is 7 Home Premium btw."
1414,Home and Kitchen,Does the Queen set really fit a queen bed with a pillow top mattress? Or should I size up and order a King?
1415,Tools and Home Improvement,Do both shower heads maintain full water pressure when they are both on? Or is it weaker when water is coming out from both shower heads?
1416,Cell Phones and Accessories,Does this case muffle your voice when talking? Someone told me my voice is muffled when I am talking with them with the case on.
1417,Patio Lawn and Garden,Is this feeder popular with cardinals?
1418,Home and Kitchen,"It says ""manually off"" does this automatically switch off and not have to wait until you pull the wall plug out to stop the alarm from sounding?"
1419,Home and Kitchen,"Is it possible to assemble this without the rear elevated printer platform/media stand? Or would it look unfinished (holes in the glass surface, etc)?"
1420,Patio Lawn and Garden,I need enough for a 21X30 rectagngle pool do you use this on the bottom as well ?
1421,Electronics,European Software Aiptek 3D-HD High Definition 3D Camcorder (Black/White)How can I download that European software that is supposed to improve the frame rate?
1422,Sports and Outdoors,"Would this stand actually fit over the regular bench seats in a 12"" V-bottom? I was looking to add a portable seat."
1423,Pet Supplies,Can it hold a large dog?
1424,Video Games,"What does the PC Download Collector's Edition come with? I purchased it and I don't see any of the in-game exclusives, nor do I see anything sent ."
1425,Musical Instruments,How long can I expect these to maintain quality of sound? I know I can get 5 years of solid use out of a Share SM58 (small concert venue).
1426,Pet Supplies,I had to return the Jolly Ball due to the dog shreding the plastic off and possibly ingesting it. Is this ball shred proof as well?
1427,Electronics,Can you play back right from the recorder
1428,Patio Lawn and Garden,Is the sound of the water falling loud? I want to place it at my fence line which is 25 ft away from my patio area.
1429,Home and Kitchen,I have a split queen foundation that reeks of chemicals. Barely fit up narrow staircase and into bedroom. Do you foresee any of these problems w/bif
1430,Patio Lawn and Garden,This heater keeps tripping the GFI outlet - any suggestions to keep it running?
1431,Tools and Home Improvement,"Does the TH6320WF have a real time clock--will it maintain a programmed time, date, schedule following a prolonged power outage?"
1432,Home and Kitchen,Does it have stitching to keep the insides from shifting around in the washer and dryer?
1433,Sports and Outdoors,"What is the standard barrel dimension, .920? Or, is .920 a bull barrel. I'm interested in fitting my standard 10/22. Where is the measurement taken?"
1434,Electronics,for a 100 inch screen how far back will it need to sit?
1435,Home and Kitchen,How does this open?! Lever doesn't do it....is mine broken?
1436,Automotive,If good for Subaru cars
1437,Tools and Home Improvement,How strong is this cover? Would it hold up if an adult stepped on it?
1438,Cell Phones and Accessories,Is this just the silicone cover or does it include the hard inside case also?
1439,Sports and Outdoors,Can I carry a glock 19 securely??
1440,Automotive,Will this fit a 2007Harley Davidson Heritage Classic?
1441,Toys and Games,"Too much money.. Color Camera?? Why the big price hike? They were supposed to be a hundred dollars cheaper..No auto charging dock... Who wants to keep plugging in their pet lol.. Amazon lists a color camera, this is false, it has no camera.."
1442,Pet Supplies,The box isn't marked in anyway so I am not sure if it is the variety pack or the charcoal. Are the charcoal treats multicolored?
1443,Electronics,"Can you dock an iPhone 5 on this with a case on it or does the case have to be removed (aka is this dock ""case friendly"")? Thanks!"
1444,Electronics,Is the 505233-70 Hadley Pro the canvas or Fybernyte version?
1445,Tools and Home Improvement,how many bulbs does this fixture take and wgat wattage is each bulb? is it bright enough for a dining room table?
1446,Electronics,Does the power supply accept dual voltage 110/240 or only 110. Thanx
1447,Pet Supplies,What is the expiration date? Is it good at least after 2016? I'd like to make sure before ordering. thanks.
1448,Electronics,Are these fake like people are writing?
1449,Office Products,How easy are these labels to remove?
1450,Toys and Games,What age is this recommended for?
1451,Electronics,Is this compatible with windows 8?
1452,Toys and Games,Is there one made of better quality? Is this unit shipped with a battery?
1453,Home and Kitchen,"What is the total weight of these six spoons together? Many similar products also claim ""heavy weight."""
1454,Automotive,How does the warranty work for the product? If it starts falling apart will they replace it?
1455,Pet Supplies,"When the motion toy is caught, does it make a click-click-click sound or is it quiet?"
1456,Patio Lawn and Garden,How long does the charge last for average trimming power? Has anyone used this on an acreage property?
1457,Electronics,I connected this adapter to the display port on my laptop to a HDMI port on a HDTV. The TV audio does not work. Did I get a faulty adapter?
1458,Office Products,does this include a pad of paper and what type of paper pad does this take
1459,Home and Kitchen,"We don't like artificial fiber fills, but can't abide the weight of the all-cotton inserts. How heavy is this insert? Is it very light and breathable?"
1460,Clothing Shoes and Jewelry,So are these pins made with stickers?
1461,Tools and Home Improvement,how big is it?
1462,Home and Kitchen,"Would the spring clip be able to clip winter gloves, hats and mittens?"
1463,Home and Kitchen,How does the lid go on? Does it screw down or just push on?
1464,Tools and Home Improvement,is the neck flexible? can it be adjusted to shine in any other direction?
1465,Patio Lawn and Garden,I NEED LONG BARS 23.5 INCHES. Is #9813 the right one?
1466,Patio Lawn and Garden,I have a 4 gal backpack sprayer. how much round up do I need to mix to kill grass? I tried a oz per gallon buy no luck.
1467,Tools and Home Improvement,"Is this toilet suitable for folks who routinely give birth to turds the size of aircraft carriers, or is it wholly unsuitable for scuttling Logzilla and ending his reign of putrid, noxious terror?"
1468,Home and Kitchen,Are rims rounded or straight up?
1469,Home and Kitchen,Can I display my sea shell collection here
1470,Electronics,How good is this at recording musical performances?
1471,Home and Kitchen,In what country is the pan made?
1472,Electronics,Can it be used while charging? Like in a indoors situation? How does it charge?
1473,Grocery and Gourmet Food,"Are these considered ""vegetable flakes""? I have a soup recipe that calls for them and was going to use these."
1474,Home and Kitchen,What is the diameter of the hamburger patty once it's pressed?
1475,Pet Supplies,"Do all of the levels have a ""step up"" to them, not stacked directly on top? One of my cats is declawed and can't grab onto things to pull herself up."
1476,Electronics,Does this come with a recharge battery?
1477,Electronics,"WIll an 18"" laptop fit in this bag? I am getting a new laptop that is 18.4"" and am having trouble finding a bag for it. This one looks nice but i am wondering if it will fit something larger then a 17""?"
1478,Electronics,"I am interested in buying this mickey case for my kindle fire 7"" hd the reviews state it does not fit does it or not"
1479,Home and Kitchen,Does it say canon on the mug?
1480,Home and Kitchen,"Is this bucket built with over 1/4"" thick Stainless steel? The description states 8mm thick. That's over 1/4""."
1481,Sports and Outdoors,I'm concerned this will rust since it is made of steel? I am hoping to leave it outdoors. Also does it fold pretty easily? Thanks!
1482,Tools and Home Improvement,How long is the delay between turning on and coming on?
1483,Automotive,"Will this fit a RWD Tahoe? Shows perfect fit, but it doesn't differentiate between a RWD or 4WD and I'm sure they are different."
1484,Tools and Home Improvement,How long is the cord?
1485,Home and Kitchen,Does this product double for just boiling water?
1486,Office Products,Are they easily removable?
1487,Pet Supplies,What stops this from slipping off the back of an SUV.....I know its rests on the vehicle but I would be afraid with heavy dogs it might slip off
1488,Patio Lawn and Garden,"I bought this product , works great for couple minutes but then stop moving , dose someone know/ has this issue or has solution ?"
1489,Electronics,"Does this support composite video input (I'm referring to the yellow cable, to avoid confusion)?"
1490,Home and Kitchen,Is the light supposed to be on when the door is open?
1491,Office Products,Can I convert old black & white and old color photos?
1492,Patio Lawn and Garden,ratio of mix ?
1493,Office Products,Is this thermal fax machine and can use thermal fax paper for receiving fax
1494,Automotive,Will this fit 2012 VW Passat 2.5L ? Thanks
1495,Patio Lawn and Garden,I wear a woman's small glove. Is the spread on the handles too wide for me to use? (this is Ralph's wife)
1496,Toys and Games,"Are these the same height as a standard pencil, or are they short?"
1497,Automotive,Will this fit a 2014 manual transmission Cruze?
1498,Home and Kitchen,The image on amazon looks as if the glass has a black tint to it. Is the glass clear or tinted? Thank you
1499,Sports and Outdoors,whats the length of each individual wrap that come in the pack of 3?
1500,Electronics,"How tall does the handle go? i.e. i can find the length of the case, but not the telescoping handle..."
1501,Tools and Home Improvement,"Hoe realiable is it - What is its planed life expected? 1 Year 2, 3 4,5, 6???"
1502,Automotive,Can you tell me more about the 2 years warranty? Will I contact Amazon when the machine break down within 2 years and send the machine back to Amazon?
1503,Electronics,How does the weight / balance feel when this lens is attached to the NEX-5/7 body?
1504,Sports and Outdoors,how heavy is the gun
1505,Electronics,"I ordered sony np-f550 batteries with my Chromo CI-160 light and they don't fit, neither do AA bateries. There is no back-plate"
1506,Toys and Games,I need to know how much weight this holds before I buy it
1507,Cell Phones and Accessories,sound muffle?
1508,Home and Kitchen,Does this wok need to be seasoned? Thanks.
1509,Electronics,Is one side of the earbud cord longer than the other?
1510,Home and Kitchen,what size is the plate?
1511,Electronics,"I have a Itouch 5th generation. I only have a cigarette lighter in my car, but no USB or AV jack. Would that be okay?"
1512,Pet Supplies,I have two Westies 16 pounds each. Would the medium size be enough to hold both at the same time?
1513,Home and Kitchen,How long is the elec cord?
1514,Musical Instruments,"Does it work with a twin pedal? And if it is the case, does it recognize fast kicks?"
1515,Home and Kitchen,Do these stack more flush than what is in the picture? I am imagine that they would (stacked they would only be the depth of the 5QT) .
1516,Sports and Outdoors,what weight are they
1517,Home and Kitchen,I am not understanding the lip and no lip. I have a nutribullet that I bought new this year. So can you tell me if these gaskets will be for mine?
1518,Cell Phones and Accessories,Does this case have a front protection screen to protect the screen?
1519,Patio Lawn and Garden,"I got a 14"" Husqvarna 240 saw for Christmas and was wondering if anyone has this case and using it on this model of saw? If so, how's it working out?"
1520,Cell Phones and Accessories,"Hi, this phone is unlocked intenational?"
1521,Tools and Home Improvement,How much weight will these legs hold? Our couch gets a lot of use with teenagers flopping down on it.
1522,Electronics,What batteries does it need?
1523,Tools and Home Improvement,Are the handles hollow or filled in (smooth) on the inside (back) of the pull - where fingers touch the back side?
1524,Patio Lawn and Garden,Will this trellis stay open when leaned against a wall?
1525,Sports and Outdoors,Will this work on a ladies cruiser style bike?
1526,Home and Kitchen,"Is it a nice heavy duty weight, want a good bottom to place on top burners to finish gravy?"
1527,Sports and Outdoors,Does it stretch
1528,Home and Kitchen,how do I keep it from raising the cover up and boiling out under the lid?
1529,Electronics,Will this work with IPad mini?
1530,Sports and Outdoors,what type batteries?
1531,Office Products,Does it come assembled?
1532,Tools and Home Improvement,Is the item durable?
1533,Home and Kitchen,what colors are in it?
1534,Office Products,Whats the difference between the Black Ticonderoga's and Yellow Ticonderoga's?
1535,Patio Lawn and Garden,Have you tried using the one-touch ash cleaner to clean the ash while cooking? Does ash get all over?
1536,Automotive,Do they need to be painted?
1537,Grocery and Gourmet Food,One of the ingredients is Sucralose and I usually hate the taste of artificial sweeteners. Can anyone taste it in this?
1538,Home and Kitchen,What's the diameter of the bottom part of the pan?
1539,Automotive,Does this lock? Does it create a legal trunk?
1540,Tools and Home Improvement,Does it come with seal gasket?
1541,Electronics,dose this have google play store? dose it run jelly bean? the latest one?
1542,Tools and Home Improvement,What size is the spindle? It seems odd they would not put that in the specs for those wanting to buy a chuck at teh same time.
1543,Home and Kitchen,does it really chop finely or does it give blendertype consistency?
1544,Electronics,Will a Surface fit?
1545,Grocery and Gourmet Food,Does it need refrigeration?
1546,Home and Kitchen,Is it dicswasher safe
1547,Home and Kitchen,Would this be sturdy enough to use as a small bookcase in a dorm room? How tall is the space between the shelves? Thanks!!
1548,Tools and Home Improvement,How do I get this open to install battery? I have removed the front lens but have no tool to unscrew the plastic bulb holder. What am I doing wrong ?
1549,Electronics,"To play music AND videos from an Android phone (Samsung S4) do I need the connectivity kit (Pioneer CD-AH200) and/or the MirrorLink cable (Pioneer CD-MU200) ? I see it as needed to use these features, but not sure if it was just ""suggested."""
1550,Pet Supplies,Will the collar fit smaller dogs?
1551,Cell Phones and Accessories,Has any one had a problem with this case fitting the Sprint Galaxy S II .. I have seen mixed Answers.
1552,Tools and Home Improvement,Plug in ?
1553,Office Products,Why are there two black ink cartridges?
1554,Home and Kitchen,"pulps after juicing still moist , when took everything apart to clean, the auger still had some soak pulp on it...What did I do wrong?"
1555,Electronics,"windows xp, yes, but what abotu windows 2k? will windows 2000 be sufficient to interact with this device? all the text i see says XP is the minimum requirement..."
1556,Sports and Outdoors,Does the light illuminate the road behind?
1557,Automotive,do you need two piece for the rear gate? or does one works fine of the Dee Zee DZ43300 Tailgate Assist
1558,Electronics,Does sleep mode function properly with this motherboard? In other words does Windows go to sleep and resume properly?
1559,Electronics,"After reading the reviews, Is this screen protector so precisely cut that its really hard to apply?"
1560,Sports and Outdoors,Is the blue one different form the pink roller? Just curious because the price is different from the blue to the pink?
1561,Sports and Outdoors,Will the seat recline?
1562,Office Products,How do you get the old eraser out and put the new one in?
1563,Electronics,Do I need a converter box for each TV and what is a good one
1564,Home and Kitchen,Has anyone used this with an oven with no window? Any techniques on how to get an accurate reading? My apartment oven is very old: no timer.
1565,Electronics,"I cant seem to set the time to anything other than military time. Is there something Im missing? Instead of being able to set it to 6:00 pm, I can only get 18:00."
1566,Tools and Home Improvement,Does this come with the sheath?
1567,Electronics,Will this lense fit the Nikon D5500?
1568,Automotive,I have led bulbs on my brake. Need I resistor for work
1569,Patio Lawn and Garden,"Does anyone know if the new 14 1/2"" Weber Smoker will sit in the slots on this table?"
1570,Tools and Home Improvement,"Is it possible to control the temperature? If so, what is the temperature range?"
1571,Home and Kitchen,23.8 x 20.8 x 16.4 inches ...this is length 23.8 width 20.8 and height 16.4? but then I see answer below saying the height is 13 inches which is it?
1572,Cell Phones and Accessories,How is quality og the camera 1.3MP of this phone? Thanks
1573,Musical Instruments,I have some questions before I purchase this item. - URGENTLY!! Is anybody know if I can connect a microphone and a guitar at the same time? or two microphones at the same time? or a microphone and a MIDI keyboard at the same time? and How is the quality of this interface?
1574,Sports and Outdoors,Are these two separate beds and can I just one or two? Does this have a warranty?
1575,Tools and Home Improvement,Is the Lamp Shade with post supposed to swivel? Received it in this condition.
1576,Office Products,How long is the included cord?
1577,Sports and Outdoors,Owners - how well has bob held up over time? months owned/current condition?
1578,Home and Kitchen,What is the diameter of the base of these glasses? I'm looking for sampler-size glasses to fit in a beer sampler paddle that I've bought.
1579,Toys and Games,"Does the truck have the words ""Dump Truck"" printed on it anywhere? My 3yo loves that his Green Toys School Bus says ""School Bus"" in several places."
1580,Tools and Home Improvement,why does in constantly drip?
1581,Home and Kitchen,How much space for each shelf? I.e. what is the height between each shelf? I am hoping to put 11 h microwave on the second shelf.
1582,Electronics,"I want to load my CDs onto this device. I want to be able to find the CD title & play the CD with the track order played back numerically (NOT alphabetically). I bought a Sandisk & then read lots of reviews saying it can't keep an album's track order correct so I'll buy this instead if I know it will KEEP THE SONGS IN ORDER. So, does it playback numerically or alphabetically?"
1583,Pet Supplies,"where are they made & where do they come from. Not China, I hope!"
1584,Electronics,How high is the stand?
1585,Electronics,Does it work with windows 7? Need it for voip phone
1586,Pet Supplies,What are some ways you have administered these to your cat?
1587,Tools and Home Improvement,Do this lamp work with regular chandeliers in lieu of the incadescent or should be used only when there is a tranformers?
1588,Electronics,"Super Bowl Prices? Supply & Demand? I was about to buy this TV today; however, it went up $150 from yesterday to $2700. Not sure if it Super Bowl Pricing, Supply and Demand, or Xmas-motivated pricing before. I think I will wait and see what it falls to after Super BowlUpdate: 10:20PM CST and $150 more than it was this morning -- $2850."
1589,Musical Instruments,I have a Ibanez Artcore Hollow Body with wammy. Will this case fork for it?
1590,Office Products,Can you fit a laptop under the very bottom shelf? I have two laptops and am looking to save space
1591,Office Products,Can I print 12x12 inch paper for scrapbooking with this printer?
1592,Electronics,I have the 70-200 Tamron is this lens as sharp and fast? I really enjoy the 70-200 but for parties it's too long. Thank you!!!
1593,Home and Kitchen,Wanting to use this as a juicer to juice greens. Will it do the trick?
1594,Automotive,"Do you have to fill and charge this battery first? The manual clearly says that it is filled, charged and load tested?"
1595,Tools and Home Improvement,Is this the four hole model that I need? The part number shown is for the one hole model. The correct number is PGS-3122-4-1.
1596,Automotive,Can these steps be installed where manual steps were before?
1597,Patio Lawn and Garden,Saw is brand new so why does the chain keep coming off bar
1598,Tools and Home Improvement,"So, this flashlight needs 3 batteries?"
1599,Office Products,type of ink used?
1600,Sports and Outdoors,Is the color of the container yellow or green
1601,Electronics,DOES THIS LG TV NETFLIX?
1602,Home and Kitchen,"Sorry for all of the width questions but I'm wondering if the body is 18"" or the top overhang is 18"" It looks like the very top might be a bit wider."
1603,Electronics,Says a Network Download Is Required. Does this mean my TV must be connected to internet? I have no wireless adapter for TV.
1604,Home and Kitchen,"What is this made of? Glass, Acrylic? Thanks."
1605,Electronics,Can you watch one channel while recording another
1606,Automotive,Do the factory Jeep transmission lines bolt directly into this radiator? Or do you have to cut and splice the original Jeep trans lines for this?
1607,Musical Instruments,I want to use two of these speaker for playing music from my i-phone. Is there volume control on each speaker? I need one to be louder than the other
1608,Sports and Outdoors,Will this definitely fit a Pink Ladyâ¦the red model Charter Arms 38 special?
1609,Home and Kitchen,"It says max weight 100 lbs. The desk alone weighs 60, so does that mean I am allowed to put only 40 lbs of weight on it?"
1610,Automotive,This is Solar so can I use it in doors and how does it recharge itself?? Or run??
1611,Tools and Home Improvement,Is this a swag lamp or is it hard-wired into the ceiling?
1612,Electronics,compatible samsung tv models?
1613,Home and Kitchen,"What is the height on these bowls? (I know the diameter is 5 1/5 inches, but I'm looking to know the height)"
1614,Tools and Home Improvement,My roof is about 45 degrees - will I have a problem hooking it a six inch pipe that is coming straight up through the roof? Or will the pipe have to come up through the roof at 45 degrees also?
1615,Sports and Outdoors,Is this unit motion activated or continuous timed shooting
1616,Home and Kitchen,Are you able to hang these pans from a pot rack with hooks?
1617,Sports and Outdoors,How tall are these cups? Would they be good for toddlers?
1618,Sports and Outdoors,"I received a Schwinn Ladies' Delmar 26"" and for a short while will need the training wheels. Are these a good fit? I weigh about 165 pounds"
1619,Patio Lawn and Garden,"Would the most of the 100 roaches be of a suitable size for a juvenile Water Dragon? From snout to vent is about 4-5 inches, probably 2 months old and currently eats adult crickets."
1620,Sports and Outdoors,Could the blade be sharpened?
1621,Tools and Home Improvement,What is a good glue to use for this track in the chanel?
1622,Electronics,"I have a large head and many headphones don't fit me properly or are uncomfortable, what can I expect with these?"
1623,Electronics,"The USB is for input, correct? So I could have my computer (or maybe even an ipod dock??) input digitally, then the amp outputs to passive speakers?"
1624,Office Products,Are these fastners green as says and not clear as pictured? We need green fastners. Thanks
1625,Electronics,Is the fit good for ipad2?
1626,Cell Phones and Accessories,This phone work in Venezuela?
1627,Patio Lawn and Garden,"Does this set fit mower tractor of Craftsman, Fx5500 48in deck 20in rear wheel?"
1628,Home and Kitchen,"Some stores advertise this as 18/10 steel, and some don't. Can anyone tell me if 18/10 is stamped anywhere on the pot?"
1629,Patio Lawn and Garden,it does not have a place to screw in a hose to let water drain off in case the barrel is full. What?! Isn't there a spigot? Can these barrels be hook
1630,Sports and Outdoors,I live in a single room apartment on the 2nd floor (unable to jump or run due to noise issues). Can I still work out with P90 or P90X at home?
1631,Electronics,this is probably a dumb question but would this fit an Antec 900 case?
1632,Tools and Home Improvement,"ready to purchase and was wondering why in all the videos that the track is never 'Clamped"" down mechanically ?"
1633,Home and Kitchen,how deep must a drawer be to accommodate the knife block when it is full?
1634,Toys and Games,"Is this too heavy for a 3yo to carry and make ""fly""? In hindsight, would you recommend this or the Lego Duplo Bucky ship?"
1635,Electronics,"Cannon SD770 I am considering purchasing this camera. Nowhere on Amazonwebsite can I find out what comes in the box. Battery charger,Memory card etc. Can anyone tell methanks"
1636,Automotive,When these are folded how long do they measure? Is it about 45 inches or is there overlap?
1637,Electronics,What would be better (faster and better reliability) 1. Backing up to this external driveor2. Backing up to an additional internal hard drive
1638,Tools and Home Improvement,Is this considered a anti-scald mixing valve? Thanks.
1639,Automotive,How would you apply this on a car door? Do you remove the plastic sheet that's normally between the steel and the trim and replace it with this?
1640,Clothing Shoes and Jewelry,Can it be used as a puppet?
1641,Sports and Outdoors,Will the mask leave deep lines on face for entire day?
